vertical,area,initiative,service,date,proyected_spend,max_spend,min_spend
Retail,Platform,Pocket Growth,Kubernetes (GKE),01/01/2025,1989.52,2201.8,1582.26
Retail,Promotion,Ad Targeting,AWS Redshift,01/01/2025,1601.65,1771.78,1337.9
Fintech,Lending,Logistics Optimization,AWS S3,01/01/2025,291.24,322.26,237.76
Fintech,Deposits,Search Relevance,Kubernetes (GKE),01/01/2025,1501.95,1623.29,1128.32
Fintech,Deposits,Logistics Optimization,GCP Cloud Storage,01/01/2025,1871.27,2045.41,1587.54
Fintech,Pocket,Fraud Shield,GCP BigQuery,02/01/2025,2289.9,2491.21,1842.79
Retail,Delivery,Checkout Revamp,AWS Redshift,02/01/2025,1504.45,1671.64,1152.01
Fintech,Pocket,Fraud Shield,GCP Cloud Run,02/01/2025,885.78,987.14,724.22
Retail,Advertisement,Lending Scoring,GCP BigQuery,02/01/2025,632.48,689.32,507.26
Fintech,Transfers,Seller Onboarding 2.0,GCP Cloud Run,02/01/2025,951.5,1053.04,715.71
Retail,Services,Fraud Shield,AWS S3,03/01/2025,435.79,472.91,349.73
Retail,Advertisement,Shipping Automation,GCP BigQuery,03/01/2025,1851.23,2019.7,1549.31
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,03/01/2025,1929.1,2094.13,1629.76
Fintech,Transfers,Search Relevance,GCP Cloud Run,03/01/2025,774.16,844.87,584.85
Fintech,Deposits,Logistics Optimization,Databricks,03/01/2025,199.17,220.48,164.0
Fintech,Lending,Shipping Automation,AWS S3,04/01/2025,1169.06,1305.16,934.78
Retail,Advertisement,Seller Onboarding 2.0,Databricks,04/01/2025,964.84,1049.84,811.36
Fintech,Bank account,Pocket Growth,GCP Cloud Run,04/01/2025,1162.44,1280.64,938.83
Retail,Advertisement,Shipping Automation,AWS EC2,04/01/2025,357.81,396.48,270.86
Retail,Delivery,Pocket Growth,AWS Redshift,05/01/2025,216.93,242.56,173.5
Retail,Services,Lending Scoring,AWS S3,05/01/2025,449.26,496.17,338.24
Fintech,Pocket,Fraud Shield,Azure Data Lake,05/01/2025,238.82,260.37,196.82
Fintech,Lending,Shipping Automation,AWS Redshift,05/01/2025,1553.85,1717.03,1242.37
Fintech,Lending,Pocket Growth,AWS S3,05/01/2025,1590.13,1737.73,1214.94
Retail,Delivery,Seller Onboarding 2.0,AWS EC2,05/01/2025,146.38,163.8,117.86
Retail,Delivery,Checkout Revamp,Kubernetes (GKE),05/01/2025,1264.61,1385.99,1039.57
Retail,Platform,Pocket Growth,Kubernetes (GKE),06/01/2025,2144.07,2374.38,1639.04
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,06/01/2025,1902.04,2055.97,1542.57
Retail,Services,Lending Scoring,GCP Cloud Storage,06/01/2025,1340.89,1469.62,1068.59
Fintech,Deposits,Fraud Shield,Databricks,06/01/2025,646.12,720.42,486.11
Retail,Platform,Pocket Growth,AWS S3,07/01/2025,1533.65,1693.78,1275.01
Fintech,Bank account,Lending Scoring,AWS EC2,07/01/2025,972.51,1067.58,797.32
Retail,Services,Ad Targeting,GCP Cloud Storage,07/01/2025,1452.89,1623.52,1230.45
Retail,Delivery,CrossBorder Expansion,AWS EC2,07/01/2025,2648.26,2950.59,2147.25
Fintech,Transfers,Search Relevance,GCP Cloud Run,08/01/2025,862.01,942.08,715.45
Retail,Delivery,Search Relevance,AWS EC2,08/01/2025,489.46,539.27,382.75
Retail,Platform,Fraud Shield,Kubernetes (GKE),08/01/2025,2932.72,3224.79,2439.63
Retail,Promotion,Shipping Automation,AWS Redshift,08/01/2025,1477.42,1632.98,1156.11
Fintech,Transfers,Search Relevance,GCP BigQuery,08/01/2025,717.37,784.35,590.86
Fintech,Pocket,Lending Scoring,GCP Cloud Run,08/01/2025,355.58,387.5,289.61
Fintech,Bank account,Pocket Growth,AWS EC2,08/01/2025,2250.51,2512.71,1834.42
Retail,Promotion,CrossBorder Expansion,AWS Redshift,09/01/2025,1767.73,1974.48,1375.87
Fintech,Pocket,Lending Scoring,Azure Data Lake,09/01/2025,1663.57,1852.77,1336.43
Fintech,Bank account,Lending Scoring,GCP Cloud Storage,09/01/2025,717.81,803.33,584.21
Retail,Delivery,Checkout Revamp,AWS Redshift,09/01/2025,2128.5,2362.21,1627.75
Fintech,Transfers,Search Relevance,GCP BigQuery,10/01/2025,599.16,665.42,475.02
Retail,Delivery,CrossBorder Expansion,Kubernetes (GKE),10/01/2025,210.99,234.3,174.83
Retail,Services,Seller Onboarding 2.0,GCP Cloud Storage,10/01/2025,475.82,523.03,361.62
Fintech,Lending,Logistics Optimization,AWS S3,10/01/2025,440.72,484.02,359.51
Fintech,Lending,Shipping Automation,AWS S3,11/01/2025,1310.35,1427.77,1108.69
Fintech,Transfers,Fraud Shield,AWS Redshift,11/01/2025,2156.65,2384.81,1726.48
Retail,Platform,Fraud Shield,AWS Lambda,11/01/2025,199.18,217.42,166.83
Fintech,Transfers,Seller Onboarding 2.0,GCP Cloud Run,11/01/2025,719.57,784.56,594.48
Retail,Advertisement,Lending Scoring,Databricks,11/01/2025,1718.54,1896.3,1332.36
Fintech,Lending,CrossBorder Expansion,Databricks,12/01/2025,863.91,947.19,723.03
Fintech,Deposits,Fraud Shield,GCP Cloud Storage,12/01/2025,1979.46,2155.15,1522.81
Retail,Advertisement,Seller Onboarding 2.0,AWS EC2,12/01/2025,119.39,132.84,90.29
Retail,Delivery,Fraud Shield,Kubernetes (GKE),12/01/2025,1498.78,1670.28,1183.06
Retail,Promotion,Lending Scoring,GCP Cloud Storage,13/01/2025,1549.45,1683.8,1206.97
Fintech,Transfers,Fraud Shield,GCP BigQuery,13/01/2025,1462.42,1579.85,1138.7
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,13/01/2025,2419.39,2645.47,1816.28
Retail,Promotion,Lending Scoring,AWS S3,13/01/2025,744.11,827.38,607.08
Fintech,Pocket,Ad Targeting,GCP BigQuery,13/01/2025,1821.35,2028.19,1518.48
Retail,Platform,Search Relevance,AWS S3,13/01/2025,1032.52,1120.84,824.04
Retail,Services,Seller Onboarding 2.0,AWS Lambda,14/01/2025,569.89,633.14,454.02
Retail,Promotion,Search Relevance,GCP Cloud Storage,14/01/2025,1356.83,1471.66,1129.17
Fintech,Pocket,Ad Targeting,AWS Lambda,14/01/2025,92.91,101.8,73.28
Fintech,Deposits,Checkout Revamp,AWS EC2,14/01/2025,698.68,782.49,592.89
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,14/01/2025,826.75,899.26,626.04
Fintech,Pocket,Lending Scoring,AWS S3,14/01/2025,682.25,741.03,561.86
Retail,Delivery,Seller Onboarding 2.0,AWS Redshift,15/01/2025,779.58,855.13,659.56
Retail,Delivery,Pocket Growth,Kubernetes (GKE),15/01/2025,1505.13,1662.85,1263.07
Fintech,Lending,Pocket Growth,Databricks,15/01/2025,1180.15,1318.6,974.77
Retail,Platform,Search Relevance,AWS S3,15/01/2025,1254.65,1404.24,1032.08
Fintech,Pocket,CrossBorder Expansion,Azure Data Lake,15/01/2025,452.38,489.83,383.04
Retail,Services,Ad Targeting,GCP Cloud Storage,15/01/2025,1539.77,1671.45,1265.79
Fintech,Deposits,Pocket Growth,Databricks,16/01/2025,1336.07,1485.21,1109.88
Fintech,Pocket,CrossBorder Expansion,GCP Cloud Run,16/01/2025,276.24,301.33,224.34
Fintech,Bank account,CrossBorder Expansion,GCP Cloud Run,16/01/2025,202.32,225.66,164.18
Fintech,Deposits,CrossBorder Expansion,GCP Cloud Storage,16/01/2025,2359.63,2611.02,1925.69
Fintech,Lending,CrossBorder Expansion,AWS Lambda,17/01/2025,2426.66,2631.65,1983.09
Retail,Delivery,Seller Onboarding 2.0,AWS EC2,17/01/2025,110.4,122.91,92.85
Retail,Promotion,Seller Onboarding 2.0,AWS Redshift,17/01/2025,429.59,466.99,364.07
Retail,Advertisement,Seller Onboarding 2.0,GCP BigQuery,17/01/2025,585.9,642.7,486.17
Fintech,Bank account,Shipping Automation,AWS EC2,17/01/2025,359.38,396.07,278.28
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,17/01/2025,2102.8,2313.15,1579.03
Retail,Platform,Fraud Shield,AWS S3,18/01/2025,443.72,491.4,335.96
Retail,Promotion,Shipping Automation,AWS Redshift,18/01/2025,1090.7,1206.44,872.1
Fintech,Lending,Logistics Optimization,AWS S3,18/01/2025,466.5,522.34,371.72
Retail,Services,Lending Scoring,GCP BigQuery,18/01/2025,739.12,827.8,605.0
Fintech,Deposits,Pocket Growth,AWS Redshift,18/01/2025,201.35,221.62,155.56
Fintech,Bank account,Lending Scoring,GCP Cloud Run,18/01/2025,372.99,404.25,288.52
Retail,Services,Search Relevance,GCP BigQuery,19/01/2025,710.67,788.21,544.07
Retail,Advertisement,Logistics Optimization,AWS EC2,19/01/2025,1336.42,1495.54,1016.28
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,19/01/2025,615.58,672.66,496.5
Retail,Platform,Fraud Shield,AWS Lambda,19/01/2025,239.89,263.5,185.51
Fintech,Lending,Fraud Shield,AWS S3,19/01/2025,513.85,563.69,395.34
Retail,Platform,Search Relevance,AWS Lambda,19/01/2025,161.45,174.7,132.26
Fintech,Bank account,Pocket Growth,GCP Cloud Storage,19/01/2025,624.81,691.59,473.03
Retail,Advertisement,Seller Onboarding 2.0,AWS EC2,20/01/2025,138.58,151.63,116.49
Fintech,Lending,Pocket Growth,AWS Lambda,20/01/2025,1103.72,1226.79,828.43
Fintech,Lending,Fraud Shield,AWS S3,20/01/2025,399.32,444.56,308.67
Retail,Promotion,Lending Scoring,AWS S3,20/01/2025,974.92,1084.94,819.59
Fintech,Bank account,Shipping Automation,AWS EC2,20/01/2025,298.05,326.86,233.78
Fintech,Bank account,CrossBorder Expansion,AWS S3,21/01/2025,1400.41,1530.46,1185.56
Retail,Services,Lending Scoring,GCP BigQuery,21/01/2025,575.76,639.07,445.05
Fintech,Bank account,Seller Onboarding 2.0,AWS S3,21/01/2025,2066.32,2297.86,1591.23
Retail,Delivery,Fraud Shield,Kubernetes (GKE),21/01/2025,1385.05,1523.07,1093.86
Fintech,Deposits,Search Relevance,Databricks,21/01/2025,511.48,570.67,390.93
Fintech,Deposits,Checkout Revamp,AWS EC2,21/01/2025,748.69,812.9,629.06
Retail,Promotion,CrossBorder Expansion,AWS S3,21/01/2025,1813.31,2022.13,1491.28
Fintech,Deposits,CrossBorder Expansion,AWS Redshift,22/01/2025,1966.13,2130.97,1589.77
Retail,Advertisement,Shipping Automation,AWS EC2,22/01/2025,307.88,334.4,260.39
Fintech,Transfers,Fraud Shield,AWS Redshift,22/01/2025,1620.94,1785.22,1305.14
Fintech,Pocket,Lending Scoring,AWS S3,22/01/2025,949.85,1028.4,782.18
Fintech,Bank account,CrossBorder Expansion,AWS EC2,22/01/2025,299.05,323.61,242.45
Fintech,Lending,Pocket Growth,AWS Lambda,22/01/2025,1188.49,1283.59,959.69
Retail,Advertisement,Shipping Automation,Databricks,23/01/2025,446.07,489.54,339.93
Retail,Services,Search Relevance,GCP BigQuery,23/01/2025,640.93,712.06,527.46
Retail,Advertisement,Shipping Automation,Databricks,23/01/2025,453.4,490.3,344.87
Fintech,Bank account,Pocket Growth,AWS EC2,23/01/2025,1817.34,2010.15,1467.33
Fintech,Deposits,Search Relevance,AWS Lambda,24/01/2025,180.16,200.5,147.23
Retail,Platform,Fraud Shield,AWS S3,24/01/2025,492.37,535.06,393.77
Retail,Promotion,Shipping Automation,AWS Redshift,24/01/2025,1045.08,1134.82,844.66
Retail,Services,Fraud Shield,AWS S3,24/01/2025,411.64,458.75,339.3
Retail,Promotion,Lending Scoring,GCP Cloud Storage,24/01/2025,1644.74,1830.47,1315.35
Fintech,Bank account,CrossBorder Expansion,Kubernetes (GKE),25/01/2025,199.13,219.35,166.24
Fintech,Lending,Logistics Optimization,AWS Lambda,25/01/2025,722.2,803.64,588.45
Fintech,Bank account,Shipping Automation,AWS EC2,25/01/2025,400.09,433.58,317.44
Fintech,Deposits,Fraud Shield,AWS Lambda,25/01/2025,217.72,238.58,176.06
Retail,Advertisement,Lending Scoring,GCP BigQuery,25/01/2025,701.97,778.84,538.84
Fintech,Deposits,Search Relevance,Kubernetes (GKE),26/01/2025,1146.82,1250.38,945.36
Fintech,Pocket,Fraud Shield,AWS Lambda,26/01/2025,909.57,1009.71,684.93
Retail,Services,Checkout Revamp,GCP BigQuery,26/01/2025,762.05,838.38,587.94
Retail,Promotion,Lending Scoring,GCP Cloud Storage,26/01/2025,645.97,717.04,486.57
Fintech,Bank account,Lending Scoring,GCP Cloud Run,26/01/2025,392.88,431.62,301.02
Fintech,Bank account,Pocket Growth,AWS S3,27/01/2025,1383.52,1514.56,1156.33
Fintech,Transfers,Fraud Shield,GCP BigQuery,27/01/2025,3910.37,4257.48,3117.95
Retail,Promotion,Ad Targeting,AWS Redshift,27/01/2025,2065.24,2247.68,1720.35
Retail,Promotion,CrossBorder Expansion,GCP Cloud Storage,27/01/2025,1826.57,2027.61,1403.13
Fintech,Bank account,Pocket Growth,Kubernetes (GKE),27/01/2025,2660.57,2886.07,2106.06
Fintech,Deposits,CrossBorder Expansion,AWS Redshift,27/01/2025,1567.09,1697.85,1290.74
Fintech,Pocket,Lending Scoring,GCP Cloud Run,28/01/2025,325.04,353.34,246.07
Retail,Delivery,Seller Onboarding 2.0,Kubernetes (GKE),28/01/2025,883.81,960.71,741.06
Fintech,Lending,Logistics Optimization,AWS S3,28/01/2025,481.77,536.17,382.34
Retail,Promotion,Seller Onboarding 2.0,AWS S3,28/01/2025,1914.11,2097.75,1488.98
Retail,Platform,Pocket Growth,Kubernetes (GKE),28/01/2025,2046.42,2291.2,1727.41
Fintech,Transfers,Search Relevance,AWS Redshift,28/01/2025,2049.15,2224.33,1619.27
Retail,Delivery,Pocket Growth,Kubernetes (GKE),28/01/2025,2717.3,3005.72,2088.0
Retail,Advertisement,Shipping Automation,AWS EC2,29/01/2025,348.39,382.51,293.78
Retail,Delivery,Seller Onboarding 2.0,AWS EC2,29/01/2025,98.36,107.78,78.57
Retail,Advertisement,Lending Scoring,GCP BigQuery,29/01/2025,732.66,816.91,603.81
Fintech,Deposits,Search Relevance,AWS Redshift,29/01/2025,1970.48,2205.01,1544.28
Retail,Advertisement,Pocket Growth,AWS EC2,30/01/2025,2077.89,2316.67,1741.55
Fintech,Deposits,Checkout Revamp,GCP Cloud Storage,30/01/2025,509.59,554.28,385.4
Fintech,Deposits,CrossBorder Expansion,AWS EC2,30/01/2025,3591.02,3910.02,2731.07
Retail,Promotion,Lending Scoring,AWS Redshift,30/01/2025,1220.86,1350.57,1015.03
Retail,Delivery,Fraud Shield,Kubernetes (GKE),30/01/2025,2338.45,2552.57,1912.09
Retail,Services,Lending Scoring,AWS S3,31/01/2025,788.15,874.37,623.62
Fintech,Pocket,CrossBorder Expansion,Azure Data Lake,31/01/2025,795.5,877.16,619.05
Fintech,Pocket,Lending Scoring,Azure Data Lake,31/01/2025,2029.32,2236.38,1635.09
Fintech,Lending,Pocket Growth,AWS Lambda,31/01/2025,703.31,782.89,586.83
Fintech,Pocket,CrossBorder Expansion,AWS S3,31/01/2025,2120.31,2350.19,1780.18
Retail,Platform,Fraud Shield,Kubernetes (GKE),31/01/2025,1167.4,1262.03,875.58
Retail,Advertisement,Pocket Growth,GCP BigQuery,31/01/2025,879.13,951.2,707.23
Retail,Delivery,Seller Onboarding 2.0,AWS Redshift,01/02/2025,293.9,324.48,224.17
Retail,Delivery,Pocket Growth,Kubernetes (GKE),01/02/2025,1625.58,1787.24,1303.33
Retail,Advertisement,Seller Onboarding 2.0,GCP BigQuery,01/02/2025,451.41,492.22,342.06
Fintech,Transfers,Fraud Shield,AWS Redshift,01/02/2025,2269.16,2488.69,1908.87
Retail,Delivery,Fraud Shield,AWS Redshift,01/02/2025,1663.52,1847.04,1395.03
Retail,Advertisement,Pocket Growth,GCP BigQuery,02/02/2025,767.13,853.87,580.75
Retail,Services,Search Relevance,GCP Cloud Storage,02/02/2025,1587.96,1750.65,1199.31
Fintech,Transfers,Search Relevance,GCP BigQuery,02/02/2025,557.53,610.73,456.35
Fintech,Deposits,Pocket Growth,Kubernetes (GKE),02/02/2025,2026.52,2210.58,1650.57
Fintech,Deposits,Logistics Optimization,AWS EC2,03/02/2025,1010.03,1111.92,812.83
Fintech,Pocket,Ad Targeting,Azure Data Lake,03/02/2025,176.16,192.48,142.41
Fintech,Deposits,Fraud Shield,AWS EC2,03/02/2025,1421.59,1567.4,1181.34
Fintech,Bank account,CrossBorder Expansion,GCP Cloud Storage,03/02/2025,1939.25,2146.88,1474.15
Fintech,Deposits,Fraud Shield,Kubernetes (GKE),03/02/2025,88.2,95.49,72.74
Retail,Platform,Pocket Growth,Kubernetes (GKE),04/02/2025,1553.0,1677.31,1210.52
Retail,Promotion,Seller Onboarding 2.0,AWS S3,04/02/2025,2018.62,2197.25,1702.27
Retail,Advertisement,Logistics Optimization,AWS EC2,04/02/2025,1351.77,1508.28,1143.77
Retail,Promotion,Lending Scoring,AWS S3,04/02/2025,796.63,880.96,625.06
Retail,Services,Fraud Shield,GCP Cloud Storage,05/02/2025,1787.89,1943.22,1459.09
Retail,Promotion,Shipping Automation,GCP Cloud Storage,05/02/2025,789.45,880.72,619.29
Retail,Delivery,Fraud Shield,Kubernetes (GKE),05/02/2025,1960.61,2154.32,1648.09
Fintech,Bank account,CrossBorder Expansion,GCP Cloud Storage,05/02/2025,1853.87,2037.49,1399.7
Retail,Services,Seller Onboarding 2.0,AWS Lambda,05/02/2025,1305.97,1459.32,1012.32
Retail,Promotion,CrossBorder Expansion,AWS Redshift,06/02/2025,1571.12,1700.55,1197.78
Retail,Promotion,Shipping Automation,AWS Redshift,06/02/2025,1054.29,1147.7,881.76
Fintech,Lending,Logistics Optimization,AWS Redshift,06/02/2025,851.26,939.31,696.32
Retail,Delivery,Pocket Growth,AWS EC2,06/02/2025,2002.36,2178.2,1628.25
Retail,Promotion,CrossBorder Expansion,GCP Cloud Storage,06/02/2025,1763.49,1952.5,1404.23
Retail,Platform,Search Relevance,AWS S3,07/02/2025,1088.7,1185.12,893.07
Retail,Advertisement,Logistics Optimization,Databricks,07/02/2025,149.42,161.97,126.1
Fintech,Deposits,Checkout Revamp,GCP Cloud Storage,07/02/2025,486.95,529.94,395.95
Fintech,Transfers,Fraud Shield,GCP Cloud Run,07/02/2025,806.68,884.86,665.14
Fintech,Lending,CrossBorder Expansion,Databricks,08/02/2025,1140.68,1239.97,925.56
Fintech,Pocket,CrossBorder Expansion,GCP Cloud Run,08/02/2025,232.18,252.0,192.78
Fintech,Pocket,Ad Targeting,AWS S3,08/02/2025,528.53,589.0,435.41
Retail,Promotion,Lending Scoring,AWS S3,08/02/2025,943.48,1031.05,742.81
Retail,Advertisement,Shipping Automation,Databricks,08/02/2025,218.1,238.7,176.92
Retail,Platform,Search Relevance,AWS S3,10/02/2025,966.47,1045.92,788.12
Fintech,Deposits,Search Relevance,Kubernetes (GKE),10/02/2025,1135.46,1242.53,904.52
Fintech,Bank account,Shipping Automation,AWS S3,10/02/2025,1098.16,1197.65,848.67
Retail,Platform,Fraud Shield,AWS S3,10/02/2025,407.51,450.06,330.94
Fintech,Bank account,Lending Scoring,Azure Data Lake,10/02/2025,1696.13,1845.76,1342.06
Fintech,Bank account,Lending Scoring,Kubernetes (GKE),10/02/2025,204.38,227.99,153.97
Retail,Services,Ad Targeting,AWS Lambda,11/02/2025,91.38,102.08,72.9
Fintech,Pocket,Lending Scoring,AWS Lambda,11/02/2025,1061.08,1150.2,805.38
Fintech,Transfers,Search Relevance,GCP Cloud Run,11/02/2025,849.74,921.37,654.84
Fintech,Lending,Logistics Optimization,AWS S3,11/02/2025,355.45,385.53,300.05
Fintech,Transfers,Fraud Shield,AWS S3,11/02/2025,410.09,453.06,330.98
Fintech,Pocket,Lending Scoring,AWS S3,12/02/2025,615.92,668.2,480.52
Fintech,Deposits,Search Relevance,AWS Redshift,12/02/2025,2688.02,2994.71,2019.58
Retail,Services,Checkout Revamp,AWS Lambda,12/02/2025,1578.87,1752.81,1269.66
Fintech,Deposits,CrossBorder Expansion,Databricks,12/02/2025,1313.53,1461.68,1104.31
Retail,Delivery,CrossBorder Expansion,AWS Redshift,13/02/2025,1938.78,2134.68,1539.0
Fintech,Transfers,Fraud Shield,GCP BigQuery,13/02/2025,2312.93,2590.18,1936.72
Fintech,Deposits,CrossBorder Expansion,Databricks,13/02/2025,568.31,614.78,440.36
Fintech,Deposits,Search Relevance,AWS Redshift,13/02/2025,1939.67,2125.98,1550.25
Retail,Advertisement,Logistics Optimization,GCP BigQuery,13/02/2025,1028.88,1124.52,800.11
Fintech,Deposits,Logistics Optimization,AWS Lambda,13/02/2025,631.23,705.68,481.67
Fintech,Transfers,Search Relevance,AWS S3,14/02/2025,1033.05,1139.53,813.12
Fintech,Lending,CrossBorder Expansion,AWS Redshift,14/02/2025,2445.25,2719.72,1928.71
Fintech,Bank account,Pocket Growth,Azure Data Lake,14/02/2025,1249.78,1358.28,968.01
Fintech,Transfers,Fraud Shield,AWS S3,14/02/2025,461.42,516.39,353.33
Fintech,Transfers,Fraud Shield,GCP BigQuery,15/02/2025,4747.25,5221.71,3622.6
Retail,Advertisement,Logistics Optimization,AWS EC2,15/02/2025,1374.06,1511.11,1162.94
Fintech,Bank account,Pocket Growth,Kubernetes (GKE),15/02/2025,1928.38,2157.55,1531.87
Retail,Promotion,Lending Scoring,GCP Cloud Storage,15/02/2025,1447.62,1585.48,1199.17
Fintech,Bank account,Pocket Growth,Kubernetes (GKE),16/02/2025,2423.39,2655.79,1851.38
Fintech,Transfers,Search Relevance,GCP Cloud Run,16/02/2025,1046.19,1154.35,821.43
Fintech,Transfers,Search Relevance,GCP BigQuery,16/02/2025,723.32,784.89,584.43
Fintech,Bank account,Shipping Automation,GCP Cloud Storage,16/02/2025,1150.79,1257.64,956.53
Fintech,Lending,CrossBorder Expansion,AWS Lambda,16/02/2025,1936.26,2106.12,1580.18
Retail,Delivery,CrossBorder Expansion,AWS Redshift,16/02/2025,2093.46,2269.58,1632.11
Fintech,Deposits,Logistics Optimization,Databricks,17/02/2025,204.83,228.31,169.92
Fintech,Bank account,Seller Onboarding 2.0,AWS EC2,17/02/2025,91.55,101.03,76.96
Fintech,Pocket,Fraud Shield,GCP BigQuery,17/02/2025,1511.51,1654.11,1150.56
Fintech,Lending,Shipping Automation,AWS Lambda,17/02/2025,1541.81,1690.36,1192.71
Fintech,Lending,Logistics Optimization,AWS S3,17/02/2025,1056.92,1159.71,877.26
Retail,Services,Checkout Revamp,AWS Lambda,17/02/2025,1550.44,1713.75,1272.56
Fintech,Pocket,Lending Scoring,Azure Data Lake,17/02/2025,2003.97,2238.58,1508.57
Fintech,Deposits,Checkout Revamp,GCP Cloud Storage,18/02/2025,588.12,657.11,458.25
Retail,Platform,Fraud Shield,AWS Lambda,18/02/2025,169.4,185.61,133.65
Retail,Promotion,Ad Targeting,AWS Redshift,18/02/2025,1644.73,1797.97,1347.42
Retail,Delivery,Search Relevance,AWS Redshift,18/02/2025,2161.82,2373.76,1772.88
Retail,Advertisement,Logistics Optimization,AWS EC2,18/02/2025,1142.73,1260.11,966.81
