vertical,area,initiative,service,date,proyected_spend,max_spend,min_spend
Fintech,Bank account,Seller Onboarding 2.0,GCP Cloud Storage,18/02/2025,646.83,710.53,502.69
Fintech,Lending,CrossBorder Expansion,AWS Redshift,18/02/2025,2321.14,2568.0,1962.95
Fintech,Deposits,CrossBorder Expansion,Kubernetes (GKE),19/02/2025,208.28,229.57,176.94
Fintech,Bank account,Seller Onboarding 2.0,GCP Cloud Storage,19/02/2025,465.68,508.91,361.86
Fintech,Bank account,CrossBorder Expansion,GCP Cloud Storage,19/02/2025,1764.16,1929.69,1332.14
Retail,Delivery,Seller Onboarding 2.0,AWS Redshift,19/02/2025,480.52,526.24,372.09
Fintech,Transfers,Fraud Shield,GCP Cloud Run,19/02/2025,722.13,782.63,579.75
Retail,Advertisement,Lending Scoring,AWS EC2,19/02/2025,1061.3,1153.26,850.52
Retail,Delivery,Search Relevance,AWS Redshift,20/02/2025,2644.19,2932.21,2132.24
Fintech,Pocket,Fraud Shield,AWS S3,20/02/2025,372.33,407.91,304.39
Fintech,Transfers,Fraud Shield,AWS S3,20/02/2025,410.31,446.66,327.36
Retail,Platform,Fraud Shield,AWS S3,20/02/2025,466.4,514.21,376.33
Fintech,Transfers,Fraud Shield,AWS Redshift,21/02/2025,2866.24,3182.16,2264.85
Fintech,Lending,Fraud Shield,AWS S3,21/02/2025,531.7,579.71,404.19
Fintech,Pocket,Ad Targeting,GCP BigQuery,21/02/2025,1679.68,1869.6,1260.6
Retail,Services,Ad Targeting,GCP BigQuery,21/02/2025,1261.15,1408.83,1062.04
Fintech,Deposits,Search Relevance,GCP Cloud Storage,21/02/2025,1619.45,1787.71,1314.24
Fintech,Transfers,Search Relevance,AWS Redshift,22/02/2025,1898.45,2101.12,1579.37
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,22/02/2025,898.7,972.49,732.25
Fintech,Bank account,Lending Scoring,AWS S3,22/02/2025,760.85,850.5,624.85
Retail,Delivery,Fraud Shield,AWS Redshift,22/02/2025,2125.64,2329.07,1769.7
Retail,Platform,Pocket Growth,AWS S3,23/02/2025,1485.57,1659.31,1149.22
Retail,Advertisement,Lending Scoring,Databricks,23/02/2025,2299.24,2536.43,1840.25
Retail,Promotion,Seller Onboarding 2.0,GCP Cloud Storage,23/02/2025,472.38,510.26,358.1
Retail,Delivery,Search Relevance,AWS Redshift,23/02/2025,2508.24,2712.76,2123.83
Fintech,Pocket,Fraud Shield,AWS S3,23/02/2025,450.9,499.24,380.24
Fintech,Lending,Shipping Automation,AWS Lambda,24/02/2025,933.31,1028.98,755.67
Retail,Advertisement,Logistics Optimization,AWS EC2,24/02/2025,869.65,940.15,732.22
Fintech,Deposits,CrossBorder Expansion,GCP Cloud Storage,24/02/2025,1743.01,1934.29,1435.77
Retail,Services,Search Relevance,GCP BigQuery,24/02/2025,531.65,592.3,399.48
Fintech,Deposits,Pocket Growth,AWS Lambda,24/02/2025,512.04,563.18,424.54
Fintech,Deposits,Pocket Growth,GCP Cloud Storage,24/02/2025,536.21,589.09,445.15
Retail,Services,Fraud Shield,AWS S3,24/02/2025,373.85,403.84,296.33
Retail,Platform,Fraud Shield,AWS Lambda,25/02/2025,194.5,216.18,155.64
Fintech,Lending,CrossBorder Expansion,AWS Lambda,25/02/2025,2358.53,2578.41,1867.85
Retail,Services,Checkout Revamp,AWS S3,25/02/2025,2735.2,3050.16,2221.87
Fintech,Lending,CrossBorder Expansion,AWS Redshift,25/02/2025,1686.92,1847.04,1294.41
Retail,Delivery,CrossBorder Expansion,AWS Redshift,25/02/2025,1847.62,2037.2,1544.88
Retail,Platform,Pocket Growth,AWS S3,25/02/2025,1195.43,1303.99,964.9
Fintech,Bank account,Shipping Automation,Kubernetes (GKE),26/02/2025,136.82,148.64,106.86
Fintech,Deposits,Checkout Revamp,AWS EC2,26/02/2025,950.35,1055.84,725.29
Retail,Services,Seller Onboarding 2.0,AWS S3,26/02/2025,2110.89,2321.69,1716.24
Fintech,Transfers,Search Relevance,GCP Cloud Run,26/02/2025,1301.48,1433.53,1032.37
Fintech,Pocket,Fraud Shield,GCP Cloud Run,27/02/2025,734.81,821.98,619.51
Fintech,Lending,Shipping Automation,AWS S3,27/02/2025,2137.48,2390.87,1780.46
Retail,Delivery,Checkout Revamp,AWS EC2,27/02/2025,921.28,1026.52,776.72
Fintech,Pocket,Fraud Shield,AWS S3,27/02/2025,349.75,380.36,271.83
Fintech,Deposits,Search Relevance,AWS Redshift,27/02/2025,1845.86,2037.41,1515.81
Retail,Promotion,Shipping Automation,GCP Cloud Storage,27/02/2025,1457.52,1625.32,1133.41
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,28/02/2025,1918.94,2101.19,1618.35
Retail,Advertisement,Seller Onboarding 2.0,AWS EC2,28/02/2025,115.59,125.3,88.28
Retail,Delivery,CrossBorder Expansion,Kubernetes (GKE),28/02/2025,195.07,217.01,149.51
Retail,Platform,Fraud Shield,Kubernetes (GKE),28/02/2025,1683.04,1850.11,1415.61
Fintech,Pocket,CrossBorder Expansion,GCP BigQuery,28/02/2025,1167.98,1287.79,990.01
Fintech,Deposits,Checkout Revamp,Databricks,28/02/2025,1748.22,1956.76,1476.15
Retail,Advertisement,Seller Onboarding 2.0,GCP BigQuery,28/02/2025,346.45,382.58,264.91
Retail,Services,Seller Onboarding 2.0,AWS Lambda,01/03/2025,2525.0,2769.93,2086.99
Retail,Promotion,Search Relevance,AWS Redshift,01/03/2025,2122.14,2323.32,1687.47
Fintech,Transfers,Search Relevance,GCP BigQuery,01/03/2025,696.07,763.39,561.99
Fintech,Lending,Pocket Growth,Databricks,01/03/2025,1143.75,1240.67,881.2
Retail,Services,Lending Scoring,AWS S3,01/03/2025,665.54,739.94,533.17
Retail,Promotion,Lending Scoring,AWS S3,01/03/2025,645.38,718.63,516.26
Retail,Services,Ad Targeting,GCP BigQuery,02/03/2025,1395.77,1523.31,1048.35
Fintech,Bank account,Seller Onboarding 2.0,AWS S3,02/03/2025,2373.07,2591.75,1981.48
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,02/03/2025,2078.88,2317.9,1594.35
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,02/03/2025,355.04,383.78,299.95
Retail,Services,Fraud Shield,AWS S3,02/03/2025,487.88,537.06,391.39
Fintech,Deposits,Search Relevance,AWS EC2,02/03/2025,471.63,518.11,359.08
Retail,Platform,Search Relevance,Kubernetes (GKE),02/03/2025,1245.1,1379.08,975.51
Fintech,Deposits,Pocket Growth,AWS Lambda,03/03/2025,847.71,921.07,662.47
Fintech,Bank account,Lending Scoring,AWS EC2,03/03/2025,591.28,654.39,487.02
Retail,Promotion,Seller Onboarding 2.0,GCP Cloud Storage,03/03/2025,823.66,901.97,665.64
Fintech,Pocket,CrossBorder Expansion,GCP Cloud Run,03/03/2025,240.47,265.66,195.59
Fintech,Deposits,Search Relevance,Kubernetes (GKE),04/03/2025,1135.94,1228.63,906.31
Retail,Services,Search Relevance,AWS S3,04/03/2025,1104.88,1213.68,888.08
Fintech,Transfers,Seller Onboarding 2.0,GCP Cloud Run,04/03/2025,549.3,604.72,448.95
Retail,Services,Checkout Revamp,GCP BigQuery,04/03/2025,455.85,496.23,373.55
Fintech,Transfers,Fraud Shield,AWS S3,04/03/2025,447.3,485.58,368.99
Retail,Advertisement,Seller Onboarding 2.0,Databricks,04/03/2025,678.84,738.26,552.23
Retail,Promotion,Seller Onboarding 2.0,AWS S3,04/03/2025,1646.43,1800.8,1374.78
Fintech,Pocket,Lending Scoring,AWS Lambda,05/03/2025,1491.41,1616.5,1137.64
Fintech,Bank account,Lending Scoring,Azure Data Lake,05/03/2025,2067.48,2311.22,1632.87
Fintech,Transfers,Fraud Shield,GCP Cloud Run,05/03/2025,811.47,889.53,678.89
Retail,Platform,Search Relevance,Kubernetes (GKE),05/03/2025,1244.92,1384.79,971.8
Fintech,Lending,Pocket Growth,Databricks,05/03/2025,1063.38,1189.89,813.73
Retail,Delivery,Seller Onboarding 2.0,Kubernetes (GKE),05/03/2025,1034.99,1121.13,855.15
Fintech,Bank account,CrossBorder Expansion,AWS EC2,06/03/2025,2333.98,2581.53,1948.73
Retail,Services,Fraud Shield,AWS Lambda,06/03/2025,193.71,215.96,164.49
Retail,Delivery,Fraud Shield,AWS EC2,06/03/2025,1735.53,1918.4,1467.0
Retail,Advertisement,Pocket Growth,GCP BigQuery,06/03/2025,713.73,783.08,552.27
Retail,Services,Seller Onboarding 2.0,GCP BigQuery,06/03/2025,336.83,369.59,253.06
Retail,Delivery,Checkout Revamp,AWS Redshift,06/03/2025,1167.78,1262.88,987.37
Retail,Advertisement,Logistics Optimization,Databricks,07/03/2025,165.57,182.36,128.35
Retail,Promotion,Shipping Automation,GCP Cloud Storage,07/03/2025,1022.99,1145.48,862.19
Fintech,Transfers,Fraud Shield,GCP BigQuery,07/03/2025,2598.98,2906.56,2055.24
Retail,Promotion,Shipping Automation,GCP Cloud Storage,07/03/2025,960.5,1038.89,743.8
Fintech,Lending,Shipping Automation,AWS Redshift,07/03/2025,1259.51,1395.83,1025.34
Fintech,Lending,Pocket Growth,Databricks,07/03/2025,1270.71,1387.71,1078.72
Retail,Delivery,Pocket Growth,AWS Redshift,08/03/2025,222.12,247.91,175.58
Fintech,Pocket,CrossBorder Expansion,AWS S3,08/03/2025,1520.54,1644.93,1141.74
Retail,Services,Checkout Revamp,AWS Lambda,08/03/2025,1968.88,2200.1,1622.83
Retail,Platform,Fraud Shield,AWS S3,08/03/2025,479.61,534.04,398.58
Retail,Platform,Search Relevance,AWS S3,09/03/2025,1491.88,1618.24,1249.61
Fintech,Lending,Logistics Optimization,Databricks,09/03/2025,242.49,262.47,192.65
Fintech,Deposits,Fraud Shield,AWS Lambda,09/03/2025,1487.85,1656.56,1175.93
Fintech,Lending,CrossBorder Expansion,AWS Lambda,09/03/2025,1791.48,1945.96,1380.82
Fintech,Bank account,Pocket Growth,Kubernetes (GKE),09/03/2025,1561.07,1719.36,1209.35
Retail,Promotion,Ad Targeting,AWS Redshift,09/03/2025,1734.45,1936.73,1319.47
Fintech,Transfers,Fraud Shield,GCP BigQuery,10/03/2025,2013.76,2220.56,1549.43
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,10/03/2025,615.09,674.07,507.62
Retail,Promotion,CrossBorder Expansion,AWS Redshift,10/03/2025,2039.46,2238.92,1620.17
Fintech,Deposits,Checkout Revamp,AWS Lambda,10/03/2025,1617.22,1750.68,1326.54
Retail,Services,Checkout Revamp,AWS Lambda,10/03/2025,1506.51,1685.41,1230.85
Fintech,Pocket,CrossBorder Expansion,GCP Cloud Run,10/03/2025,331.62,362.28,250.98
Fintech,Bank account,Pocket Growth,Azure Data Lake,11/03/2025,1417.22,1541.33,1108.0
Fintech,Transfers,Fraud Shield,AWS S3,11/03/2025,458.37,500.28,344.94
Retail,Platform,Pocket Growth,Kubernetes (GKE),11/03/2025,1851.95,2071.55,1496.95
Fintech,Transfers,Seller Onboarding 2.0,GCP Cloud Run,11/03/2025,418.61,453.68,333.32
Retail,Platform,Pocket Growth,AWS S3,11/03/2025,1552.46,1730.51,1243.97
Retail,Services,Seller Onboarding 2.0,AWS S3,11/03/2025,2533.3,2807.7,2126.13
Fintech,Pocket,Lending Scoring,GCP Cloud Run,12/03/2025,458.8,510.74,379.12
Fintech,Deposits,Logistics Optimization,Databricks,12/03/2025,154.48,172.86,123.15
Fintech,Deposits,Fraud Shield,AWS Lambda,12/03/2025,233.47,260.01,196.88
Retail,Platform,Pocket Growth,AWS Lambda,12/03/2025,887.51,992.0,671.71
Retail,Promotion,Ad Targeting,GCP Cloud Storage,12/03/2025,1930.01,2094.21,1616.61
Fintech,Pocket,Lending Scoring,AWS Lambda,12/03/2025,1182.68,1314.95,981.87
Retail,Promotion,CrossBorder Expansion,AWS Redshift,12/03/2025,2415.8,2661.8,1868.55
Fintech,Lending,Fraud Shield,AWS Lambda,13/03/2025,244.55,269.43,205.5
Retail,Advertisement,Seller Onboarding 2.0,AWS EC2,13/03/2025,134.43,150.02,102.16
Retail,Promotion,Seller Onboarding 2.0,GCP Cloud Storage,13/03/2025,687.31,769.01,534.34
Retail,Promotion,Lending Scoring,AWS S3,13/03/2025,821.66,910.56,692.77
Retail,Delivery,Fraud Shield,Kubernetes (GKE),13/03/2025,1921.86,2112.74,1500.62
Retail,Advertisement,Lending Scoring,AWS EC2,13/03/2025,867.64,952.89,682.69
Retail,Platform,Search Relevance,AWS S3,14/03/2025,959.71,1051.31,743.07
Retail,Services,Ad Targeting,GCP BigQuery,14/03/2025,1003.73,1098.54,770.04
Fintech,Bank account,Lending Scoring,AWS EC2,14/03/2025,688.03,753.84,535.4
Fintech,Deposits,CrossBorder Expansion,Kubernetes (GKE),14/03/2025,170.74,185.02,135.12
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,14/03/2025,2044.46,2214.35,1671.87
Fintech,Lending,Pocket Growth,AWS Lambda,15/03/2025,790.88,878.83,617.11
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,15/03/2025,1005.86,1104.27,758.72
Retail,Promotion,Lending Scoring,GCP Cloud Storage,15/03/2025,1006.01,1123.94,796.0
Retail,Services,Lending Scoring,GCP BigQuery,15/03/2025,597.95,660.43,468.53
Retail,Advertisement,Lending Scoring,AWS EC2,16/03/2025,837.13,905.28,674.97
Retail,Platform,Pocket Growth,AWS S3,16/03/2025,1621.84,1761.81,1255.93
Retail,Services,Search Relevance,AWS S3,16/03/2025,1194.67,1300.08,896.28
Fintech,Lending,Logistics Optimization,AWS Redshift,16/03/2025,904.45,1012.1,754.27
Fintech,Transfers,Search Relevance,AWS Redshift,16/03/2025,2491.21,2712.3,2067.11
Retail,Promotion,Shipping Automation,GCP Cloud Storage,16/03/2025,1225.06,1348.34,975.22
Retail,Services,Seller Onboarding 2.0,AWS S3,16/03/2025,2254.32,2519.09,1807.66
Retail,Promotion,CrossBorder Expansion,AWS S3,17/03/2025,1728.64,1934.5,1370.54
Fintech,Transfers,Fraud Shield,GCP Cloud Run,17/03/2025,570.37,621.39,482.02
Retail,Services,Lending Scoring,AWS Lambda,17/03/2025,2015.51,2180.71,1631.7
Retail,Promotion,Seller Onboarding 2.0,AWS Redshift,17/03/2025,526.93,572.32,417.17
Fintech,Transfers,Fraud Shield,GCP Cloud Run,17/03/2025,1178.06,1275.28,932.41
Retail,Promotion,Ad Targeting,GCP Cloud Storage,17/03/2025,1442.97,1569.67,1131.67
Retail,Delivery,Search Relevance,Kubernetes (GKE),18/03/2025,1393.8,1537.0,1084.34
Fintech,Pocket,CrossBorder Expansion,Azure Data Lake,18/03/2025,277.47,309.79,218.05
Fintech,Pocket,Ad Targeting,AWS Lambda,18/03/2025,76.27,84.01,58.8
Fintech,Deposits,Search Relevance,AWS Lambda,18/03/2025,123.65,136.63,97.37
Retail,Advertisement,Pocket Growth,AWS EC2,18/03/2025,1936.01,2106.53,1541.55
Retail,Services,Seller Onboarding 2.0,AWS S3,18/03/2025,1781.32,1980.87,1406.14
Fintech,Bank account,Shipping Automation,Kubernetes (GKE),18/03/2025,146.98,162.37,123.45
Retail,Promotion,Ad Targeting,GCP Cloud Storage,19/03/2025,1672.48,1864.09,1375.92
Retail,Advertisement,Pocket Growth,Databricks,19/03/2025,742.87,830.5,592.26
Fintech,Pocket,Ad Targeting,GCP BigQuery,19/03/2025,1857.02,2031.43,1416.35
Fintech,Lending,Pocket Growth,AWS S3,19/03/2025,1533.58,1661.82,1199.4
Fintech,Deposits,Search Relevance,GCP Cloud Storage,19/03/2025,1725.45,1879.08,1451.04
Fintech,Lending,Fraud Shield,Databricks,19/03/2025,692.34,759.85,547.48
Retail,Delivery,Search Relevance,AWS EC2,19/03/2025,273.19,305.37,226.15
Fintech,Lending,Shipping Automation,AWS Lambda,20/03/2025,2417.12,2647.07,1877.14
Fintech,Deposits,Logistics Optimization,Kubernetes (GKE),20/03/2025,1331.92,1479.54,1021.92
Retail,Platform,Fraud Shield,AWS S3,20/03/2025,489.96,539.75,387.39
Retail,Platform,Search Relevance,AWS Lambda,20/03/2025,149.99,163.09,118.63
Retail,Advertisement,Seller Onboarding 2.0,Databricks,20/03/2025,943.0,1030.54,769.62
Retail,Promotion,Shipping Automation,AWS S3,20/03/2025,2000.92,2213.27,1611.49
Fintech,Pocket,Ad Targeting,AWS Lambda,20/03/2025,106.04,117.37,80.97
Fintech,Pocket,Ad Targeting,AWS S3,21/03/2025,552.65,606.48,429.78
Retail,Services,Seller Onboarding 2.0,AWS Lambda,21/03/2025,2013.22,2192.69,1606.6
Fintech,Bank account,CrossBorder Expansion,AWS EC2,21/03/2025,3064.44,3398.08,2491.93
Fintech,Transfers,Search Relevance,GCP BigQuery,21/03/2025,534.9,581.3,451.97
Fintech,Lending,Logistics Optimization,Databricks,22/03/2025,147.78,165.14,123.5
Retail,Advertisement,Shipping Automation,AWS EC2,22/03/2025,400.9,435.99,333.03
Retail,Platform,Pocket Growth,AWS S3,22/03/2025,1258.97,1365.09,1023.11
Fintech,Lending,Logistics Optimization,AWS Redshift,22/03/2025,929.33,1022.17,702.19
Retail,Promotion,Shipping Automation,GCP Cloud Storage,22/03/2025,1134.53,1248.87,907.04
Retail,Platform,Fraud Shield,AWS S3,23/03/2025,459.68,505.79,379.93
Fintech,Lending,Shipping Automation,AWS Redshift,23/03/2025,1276.05,1400.43,1071.15
Retail,Delivery,Seller Onboarding 2.0,AWS Redshift,23/03/2025,551.09,617.11,449.78
Fintech,Deposits,Pocket Growth,GCP Cloud Storage,23/03/2025,723.21,795.14,555.74
Fintech,Deposits,Fraud Shield,AWS Redshift,23/03/2025,2246.75,2469.45,1823.61
Retail,Advertisement,Pocket Growth,AWS EC2,24/03/2025,1801.66,1976.19,1392.23
Fintech,Transfers,Seller Onboarding 2.0,GCP BigQuery,24/03/2025,459.49,497.48,353.68
Retail,Advertisement,Seller Onboarding 2.0,AWS EC2,24/03/2025,137.22,151.45,115.12
Fintech,Deposits,Search Relevance,Kubernetes (GKE),24/03/2025,1126.07,1226.43,888.62
Fintech,Pocket,Lending Scoring,GCP BigQuery,24/03/2025,593.9,656.56,447.85
Retail,Services,Ad Targeting,AWS Lambda,25/03/2025,80.53,87.14,65.21
Fintech,Bank account,Lending Scoring,GCP Cloud Run,25/03/2025,366.97,410.73,310.05
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,25/03/2025,678.96,746.01,514.43
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,25/03/2025,341.25,380.79,259.91
Fintech,Lending,Fraud Shield,AWS Lambda,25/03/2025,211.03,231.92,168.36
Retail,Delivery,CrossBorder Expansion,AWS EC2,26/03/2025,18077.59,19567.42,14367.61
Retail,Platform,Pocket Growth,AWS Lambda,26/03/2025,540.6,601.62,448.06
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,26/03/2025,2286.09,2528.25,1755.84
Fintech,Deposits,Pocket Growth,Kubernetes (GKE),26/03/2025,2940.69,3267.91,2352.97
Retail,Platform,Search Relevance,AWS S3,26/03/2025,1033.99,1134.42,875.39
Fintech,Pocket,CrossBorder Expansion,Azure Data Lake,26/03/2025,525.94,581.44,411.13
Fintech,Bank account,Pocket Growth,GCP Cloud Run,26/03/2025,1495.11,1665.93,1128.73
Retail,Platform,Pocket Growth,Kubernetes (GKE),27/03/2025,1685.3,1862.66,1292.77
Retail,Services,Ad Targeting,GCP Cloud Storage,27/03/2025,1952.45,2135.79,1605.46
Retail,Advertisement,Lending Scoring,GCP BigQuery,27/03/2025,721.97,798.86,609.82
Retail,Platform,Search Relevance,AWS S3,27/03/2025,1322.86,1464.24,1000.03
Fintech,Lending,CrossBorder Expansion,AWS Redshift,27/03/2025,2369.69,2650.32,1792.18
Fintech,Bank account,Pocket Growth,AWS S3,27/03/2025,1555.27,1702.77,1239.18
Retail,Platform,Search Relevance,Kubernetes (GKE),28/03/2025,1431.17,1570.0,1124.57
Retail,Platform,Pocket Growth,AWS Lambda,28/03/2025,837.07,931.23,672.79
Retail,Advertisement,Lending Scoring,AWS EC2,28/03/2025,801.61,881.95,647.72
Fintech,Transfers,Fraud Shield,AWS S3,28/03/2025,500.81,555.63,419.71
Fintech,Lending,Logistics Optimization,AWS Redshift,29/03/2025,816.03,896.32,685.73
Fintech,Lending,CrossBorder Expansion,AWS Redshift,29/03/2025,1949.35,2122.1,1611.58
Retail,Delivery,Search Relevance,AWS Redshift,29/03/2025,1570.46,1742.91,1203.5
Retail,Services,Checkout Revamp,GCP Cloud Storage,29/03/2025,419.43,455.19,350.4
Fintech,Lending,Shipping Automation,Databricks,30/03/2025,337.28,366.94,279.04
Retail,Advertisement,Seller Onboarding 2.0,GCP BigQuery,30/03/2025,434.9,480.6,345.81
Fintech,Deposits,CrossBorder Expansion,AWS EC2,30/03/2025,2853.38,3166.94,2363.99
Fintech,Bank account,Seller Onboarding 2.0,AWS S3,30/03/2025,1742.99,1944.81,1453.09
Retail,Platform,Fraud Shield,AWS S3,30/03/2025,479.59,523.19,380.64
Retail,Services,Fraud Shield,AWS S3,30/03/2025,489.88,531.24,398.36
Retail,Advertisement,Seller Onboarding 2.0,Databricks,30/03/2025,585.76,655.02,461.22
Retail,Advertisement,Pocket Growth,AWS EC2,31/03/2025,1511.25,1641.49,1146.71
Fintech,Lending,CrossBorder Expansion,AWS S3,31/03/2025,1599.44,1740.04,1335.37
Fintech,Bank account,Pocket Growth,AWS S3,31/03/2025,1472.98,1607.99,1117.49
Retail,Delivery,Seller Onboarding 2.0,Kubernetes (GKE),31/03/2025,691.6,761.57,525.44
Fintech,Lending,Pocket Growth,AWS S3,31/03/2025,1264.58,1410.41,970.05
Retail,Promotion,Search Relevance,AWS Redshift,01/04/2025,1751.46,1944.86,1378.17
Fintech,Lending,Fraud Shield,Databricks,01/04/2025,1387.41,1537.7,1093.26
Fintech,Lending,Fraud Shield,Databricks,01/04/2025,904.39,983.08,710.92
Fintech,Bank account,Lending Scoring,GCP Cloud Run,01/04/2025,371.03,406.02,289.76
Fintech,Transfers,Seller Onboarding 2.0,GCP Cloud Run,01/04/2025,539.87,593.39,458.0
Fintech,Transfers,Seller Onboarding 2.0,GCP BigQuery,02/04/2025,588.88,639.46,444.13
Fintech,Lending,Logistics Optimization,AWS Lambda,02/04/2025,874.92,954.49,692.45
Retail,Advertisement,Logistics Optimization,GCP BigQuery,02/04/2025,1160.74,1267.91,895.92
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,02/04/2025,482.14,523.17,391.63
Fintech,Pocket,Fraud Shield,AWS S3,02/04/2025,545.27,600.9,462.81
Retail,Delivery,Search Relevance,AWS EC2,02/04/2025,435.94,483.11,348.33
Fintech,Lending,CrossBorder Expansion,Databricks,03/04/2025,794.99,860.81,635.42
Retail,Delivery,Pocket Growth,AWS Redshift,03/04/2025,234.86,258.17,189.37
Fintech,Transfers,Fraud Shield,AWS S3,03/04/2025,433.96,482.25,354.12
Retail,Advertisement,Shipping Automation,AWS EC2,03/04/2025,369.91,410.57,305.18
Fintech,Lending,Logistics Optimization,Databricks,03/04/2025,170.16,189.32,135.66
Fintech,Transfers,Search Relevance,AWS S3,03/04/2025,1249.7,1372.08,1015.35
Fintech,Pocket,Ad Targeting,AWS S3,04/04/2025,523.11,582.13,393.91
Fintech,Bank account,Pocket Growth,Azure Data Lake,04/04/2025,1910.29,2081.51,1590.72
